se_url,stock_name,company_url,company_name,date,ticker,se
/markets/NZSX/securities/ARV,Arvida Group Limited Ordinary Shares,http://www.arvida.co.nz,Arvida Group Limited (ARV),,ARV,NZ
/markets/NZSX/securities/ARG,Argosy Property Limited Ordinary Shares,http://www.argosy.co.nz/,Argosy Property Limited (ARG),,ARG,NZ
/markets/NZSX/securities/APA,Asia Pacific Fund (NS) Units,http://www.smartshares.co.nz/,Asia Pacific Fund (NS) (APA),,APA,NZ
/markets/NZSX/securities/AOR,Aorere Resources Limited Ordinary Shares,http://www.aorereresources.co.nz,Aorere Resources Limited (AOR),,AOR,NZ
/markets/NZSX/securities/ANZ,Australia and New Zealand Banking Group Limited Ord Shares,http://www.anz.com.au/,Australia and New Zealand Banking Group Limited (ANZ),,ANZ,NZ
/markets/NZSX/securities/AMP,AMP Limited Ordinary Shares,http://www.amp.com.au/,AMP Limited (AMP),,AMP,NZ
/markets/NZSX/securities/ALF,Allied Farmers Limited Ordinary Shares,http://www.alliedfarmers.co.nz/,Allied Farmers Limited (ALF),,ALF,NZ
/markets/NZSX/securities/AIR,Air New Zealand Limited (NS) Ordinary Shares,http://www.airnewzealand.com/,Air New Zealand Limited (NS) (AIR),,AIR,NZ
/markets/NZSX/securities/AFT,AFT Pharmaceuticals Limited,http://www.aftpharm.com,AFT Pharmaceuticals Limited (AFT),,AFT,NZ
/markets/NZSX/securities/AIA,Auckland International Airport Limited Ordinary Shares,http://www.aucklandairport.co.nz/,Auckland International Airport Limited (AIA),,AIA,NZ
/markets/NZSX/securities/AFI,Australian Foundation Investment Company Limited Ord Shares,http://www.afi.com.au/,Australian Foundation Investment Company Limited (AFI),,AFI,NZ
se_url,stock_name,company_url,company_name,date,ticker,se
/markets/NZSX/securities/ABA,Abano Healthcare Group Limited Ordinary Shares,http://www.abanohealthcare.co.nz/,Abano Healthcare Group Limited (ABA),,ABA,NZ
